Proveedor,Madurador,Centro,SKU Familia,Descripcion SKU,UMB,27/04/2026,28/04/2026,29/04/2026,30/04/2026,24/04/2026,02/05/2026,Total general
CD Planta de Maduracion II (TIL-TIL),TIL TIL,J762,506862,PALTA HASS EXTRA CHILENA,CS,26,26,26,24,0,59,161
CD Planta de Maduracion II (TIL-TIL),TIL TIL,N692,506862,PALTA HASS EXTRA CHILENA,CS,,9,5,,16,30,60
CD Planta de Maduracion II (TIL-TIL),TIL TIL,N736,506862,PALTA HASS EXTRA CHILENA,CS,5,12,,0,,17,34
CD Planta de Maduracion II (TIL-TIL),TIL TIL,N764,506862,PALTA HASS EXTRA CHILENA,CS,,5,9,,5,19,38
CD Planta de Maduracion II (TIL-TIL),TIL TIL,N918,506862,PALTA HASS EXTRA CHILENA,CS,8,18,,0,,26,52
CD Planta de Maduracion II (TIL-TIL),TIL TIL,J408,1804806,PLATANO EXTRA GRANEL,CS,15,15,20,22,0,34,106
CD Planta de Maduracion II (TIL-TIL),TIL TIL,J414,1804806,PLATANO EXTRA GRANEL,CS,45,43,43,46,0,111,288
CD Planta de Maduracion II (TIL-TIL),TIL TIL,J502,1804806,PLATANO EXTRA GRANEL,CS,44,29,58,88,0,157,376
CD Planta de Maduracion II (TIL-TIL),TIL TIL,J504,1804806,PLATANO EXTRA GRANEL,CS,,4,47,,109,160,320
CD Planta de Maduracion II (TIL-TIL),TIL TIL,J508,1804806,PLATANO EXTRA GRANEL,CS,22,22,30,29,0,45,148
CD Planta de Maduracion II (TIL-TIL),TIL TIL,J512,1804806,PLATANO EXTRA GRANEL,CS,25,95,95,88,0,156,459
CD Planta de Maduracion II (TIL-TIL),TIL TIL,J514,1804806,PLATANO EXTRA GRANEL,CS,22,22,29,30,0,54,157
CD Planta de Maduracion II (TIL-TIL),TIL TIL,J591,1804806,PLATANO EXTRA GRANEL,CS,,27,47,,45,119,238
CD Planta de Maduracion II (TIL-TIL),TIL TIL,J592,1804806,PLATANO EXTRA GRANEL,CS,25,62,,0,,87,174
CD Planta de Maduracion II (TIL-TIL),TIL TIL,J624,1804806,PLATANO EXTRA GRANEL,CS,25,24,33,38,0,80,200
CD Planta de Maduracion II (TIL-TIL),TIL TIL,J754,1804806,PLATANO EXTRA GRANEL,CS,,6,9,,17,32,64
CD Planta de Maduracion II (TIL-TIL),TIL TIL,J762,1804806,PLATANO EXTRA GRANEL,CS,26,26,35,23,0,58,168
CD Planta de Maduracion II (TIL-TIL),TIL TIL,J775,1804806,PLATANO EXTRA GRANEL,CS,40,40,54,58,0,99,291
CD Planta de Maduracion II (TIL-TIL),TIL TIL,J810,1804806,PLATANO EXTRA GRANEL,CS,13,13,17,16,0,35,94
